seed,pnl_bs,pnl_heston,sharpe_bs,sharpe_heston,maxdd_bs,maxdd_heston,nfills_bs,nfills_heston,final_spot,spot0,terminal_variance,mean_variance,vol_of_var,max_spot_drawdown
1,7.876838402058397,22.2461380602355,0.608315434762572,0.8433939205381058,-14.018255565925472,-26.45694009143268,111,100,101.83478352165905,100.0,0.011753105797978274,0.03019252031826785,0.00523033385617119,-0.0496003834207569
2,32.052085511365476,108.88293405993579,2.141049421192927,2.9689254129029203,-21.876405607563434,-29.57941157774102,128,125,109.99715923952623,100.0,0.0013439722625001,0.012838581348648641,0.004032999338138273,-0.033979960676346344
3,21.88207726544215,9.090813375194436,1.2848695790759275,0.22788694658134842,-23.917371638078894,-75.23373282401147,115,114,99.32666312306931,100.0,0.03459877635845777,0.03155270706457923,0.007116869410313018,-0.08656152250425075
4,55.516672804903735,13.114286564125791,1.4020152878754266,0.25130824184272355,-73.85807767066034,-124.5844209489562,139,159,89.72870993456998,100.0,0.1186220766685843,0.09872687724651162,0.011325733632975453,-0.2311920817178179
5,-8.67547537935835,-29.134079898690352,-1.0788088432019065,-2.0878822013384988,-20.089788066663036,-43.37672197167137,120,129,95.08933875585274,100.0,0.002596842704366466,0.02308352803472435,0.004708509686324048,-0.1193562511346351
6,433.3237217817773,428.90556368712913,4.860046795697016,4.734944250738913,-106.69049797038872,-70.04175102587165,154,190,73.36115881702808,100.0,0.1390539181251635,0.12734673913834105,0.011098644935248309,-0.38684451293343436
7,47.129773200812025,63.8049894044117,9.892963096335762,9.296242162298725,-3.820068760910303,-4.413714614344059,93,97,84.04032622055749,100.0,0.04138469838703171,0.05451906769195132,0.006847328571291617,-0.1717214314912482
8,-51.85358336106456,-97.97481484907954,-1.1626882577929343,-1.5957468445705214,-160.0938155403968,-232.46054272732744,139,145,100.85739379914395,100.0,0.022781990159109578,0.0745071115560027,0.009663816291201962,-0.22559959909794614
9,128.26579928475041,97.04213505339936,2.949666038624819,1.4202246491929966,-83.33760408572732,-180.89728007163538,148,205,82.7721128883789,100.0,0.1693877930503166,0.15161682272853377,0.01766661424395208,-0.26924654205409126
10,52.61548529841545,52.56523583832998,5.001557070199387,5.334616696423423,-6.718785512738123,-6.911522027385374,134,116,93.48472113811128,100.0,0.021558915495747868,0.030046701423551713,0.005398957002534288,-0.09686024268143911
11,31.05488359067627,90.97779241433841,1.6589345667860431,1.9995494954385695,-16.872852427722172,-40.187724823614715,134,124,108.74056044592986,100.0,0.0029506687129854715,0.01320455234033159,0.004062063269209149,-0.03409954170397411
